Date,Open,High,Low,Close,Adj Close,Volume
2015-01-09,90.411842,107.422134,89.053879,101.918800,81.949333,89084705
2015-01-16,102.562050,102.562050,99.345818,101.132614,81.317200,36084977
2015-01-23,102.133217,105.135033,101.918800,103.920013,83.558449,45566830
2015-01-30,105.063560,108.351265,104.205902,104.706207,84.190590,42128042
2015-02-06,105.921227,108.279793,105.063560,106.492996,85.627296,32269987
2015-02-13,107.922432,109.208931,106.564468,108.637154,87.351341,16480336
2015-02-20,108.637154,109.780701,105.992699,109.351875,87.926010,19195831
2015-02-27,110.423950,113.282822,109.065987,109.494812,88.040947,39395602
2015-03-06,109.923645,110.066589,107.267754,107.267754,86.250252,21298168
2015-03-13,107.267754,110.352478,107.267754,108.923042,90.063591,15416517
2015-03-20,108.994514,112.425163,107.350662,111.638969,92.309273,26691308
2015-03-27,111.781914,115.784332,111.496025,113.926071,94.200386,29759606
2015-04-03,113.926071,118.643204,112.210747,118.428795,97.923477,31802195
2015-04-10,120.072639,122.788574,117.213768,117.999962,97.568893,44666145
2015-04-17,117.285240,121.001778,116.856415,117.999962,97.568893,30345787
2015-04-24,117.999962,120.787361,117.428185,120.430000,99.578186,25148842
2015-05-01,120.430000,121.859436,114.426369,115.212563,95.264122,24292870
2015-05-08,116.141693,118.571732,115.069618,115.712860,95.677803,18402097
2015-05-15,116.999359,122.502686,116.641998,122.431213,101.232903,31039316
2015-05-22,122.145325,125.004196,113.500000,121.000000,100.049492,79730550
2015-05-29,120.000000,124.699997,112.599998,114.300003,94.509575,87124659
2015-06-05,113.000000,117.300003,110.000000,110.900002,91.698250,61175019
2015-06-12,112.000000,114.500000,111.500000,114.000000,94.261513,43402846
2015-06-19,114.599998,119.000000,114.099998,116.800003,96.576706,34412866
2015-06-26,116.000000,116.500000,111.900002,113.800003,94.096146,35485903
2015-07-03,113.800003,114.800003,103.000000,108.599998,89.796486,66546410
2015-07-10,110.599998,113.699997,108.599998,112.099998,92.690491,45421505
2015-07-17,112.000000,116.400002,111.800003,114.400002,94.592255,23529772
2015-07-24,114.000000,115.599998,110.800003,112.400002,92.938538,26683725
2015-07-31,113.000000,116.000000,112.500000,114.199997,94.426880,21522087
2015-08-07,115.000000,116.800003,111.199997,111.699997,92.359749,31285546
2015-08-14,111.800003,114.400002,105.400002,105.800003,87.481300,29331808
2015-08-21,103.000000,105.000000,97.500000,103.900002,85.910278,78400049
2015-08-28,106.800003,106.800003,100.900002,102.599998,84.835342,32892422
2015-09-04,104.000000,111.800003,100.300003,108.099998,89.383072,43065188
2015-09-11,108.699997,109.500000,102.400002,103.699997,85.744904,38729010
2015-09-18,103.699997,104.900002,100.699997,100.900002,83.429695,34384702
2015-09-25,101.199997,101.800003,98.500000,100.199997,83.415062,23029584
2015-10-02,102.199997,105.300003,102.000000,102.599998,85.413017,41448144
2015-10-09,103.199997,107.900002,102.199997,107.699997,89.658699,27867561
2015-10-16,107.599998,108.099998,105.599998,107.500000,89.492218,16685538
2015-10-23,109.000000,109.500000,106.099998,106.500000,88.659721,22714055
2015-10-30,107.199997,107.800003,103.300003,104.800003,87.244507,25993855
2015-11-06,103.599998,104.500000,101.500000,103.900002,86.495262,22863684
2015-11-13,102.699997,104.199997,100.500000,103.800003,86.412018,23744593
2015-11-20,104.000000,105.199997,102.300003,102.900002,85.662773,20013813
2015-11-27,103.000000,104.199997,101.000000,103.300003,85.995773,28643258
2015-12-04,103.000000,104.099998,100.800003,101.199997,84.247551,26411166
2015-12-11,102.400002,102.599998,99.199997,101.199997,84.247551,31601585
2015-12-18,101.199997,105.000000,101.199997,104.699997,87.161247,23683490
2015-12-25,104.699997,105.400002,103.699997,104.599998,87.078003,8879244
